,摘要,户型,面积,位置,价格,经度,纬度,行政区
5273,整租|顺义城区鹭廷中心2室1厅,2室1厅1卫,73,顺义城区  鹭廷中心,4000,116.631311,40.105105,顺义区
5274,整租|后沙峪艾迪城1室2厅,1室2厅1卫,45,后沙峪  艾迪城,5300,116.542468,40.087177,顺义区
5275,整租|石门旭辉26街区2室1厅,2室1厅2卫,38,石门  旭辉26街区,3700,116.612087,40.123084,顺义区
5276,整租|石门旭辉26街区2室1厅,2室1厅2卫,38,石门  旭辉26街区,3800,116.612087,40.123084,顺义区
5277,整租|石门旭辉26街区4室1厅,4室1厅2卫,70,石门  旭辉26街区,5200,116.612087,40.123084,顺义区
5278,整租|通州周边首开万科台湖新城1室2厅,1室2厅2卫,75,通州周边  首开万科台湖新城V公馆,3600,116.583445,39.819005,通州区
5279,整租|后沙峪国门智慧城2室1厅,2室1厅2卫,90,后沙峪  国门智慧城,4500,116.558618,40.120611,顺义区
5280,整租|石门旭辉26街区1室1厅,1室1厅1卫,27,石门  旭辉26街区,3100,116.612087,40.123084,顺义区
5281,整租|石门旭辉26街区2室1厅,2室1厅2卫,38,石门  旭辉26街区,3800,116.612087,40.123084,顺义区
5282,整租|石门旭辉26街区1室1厅,1室1厅1卫,27,石门  旭辉26街区,3100,116.612087,40.123084,顺义区
5283,整租|石门旭辉26街区2室1厅,2室1厅2卫,38,石门  旭辉26街区,3600,116.612087,40.123084,顺义区
5284,整租|台湖镇东亚尚品台湖1室0厅,1室0厅1卫,53,台湖镇  东亚尚品台湖,2500,116.620405,39.835836,通州区
5285,整租|新国展中粮祥云国际生活1室1厅,1室1厅1卫,52,新国展  中粮祥云国际生活区(南区),3800,116.538842,40.087729,顺义区
5286,整租|通州周边首开万科台湖新城1室2厅,1室2厅2卫,75,通州周边  首开万科台湖新城V公馆,3600,116.583445,39.819005,通州区
5287,整租|王府井王府井社区1室0厅,1室0厅1卫,90,王府井  王府井社区,8000,116.41483,39.914286,东城区
5288,整租|北关朝北80801室1厅,1室1厅1卫,50,北关  朝北8080,3900,116.649166,39.94051,通州区
5289,整租|灯市口甘雨胡同2号院1室1厅,1室1厅1卫,40,灯市口  甘雨胡同2号院,8700,116.41673,39.917092,东城区
5290,整租|台湖镇首开万科城市之光1室2厅,1室2厅2卫,38,台湖镇  首开万科城市之光,3600,116.589953,39.816294,通州区
5291,整租|次渠首开万科城市之光1室2厅,1室2厅2卫,74,次渠  首开万科城市之光(商住楼),3500,116.589953,39.816294,通州区
5292,整租|灯市口甘雨胡同2号院1室1厅,1室1厅1卫,55,灯市口  甘雨胡同2号院,8300,116.41673,39.917092,东城区
5293,整租|十里堡公园18723室1厅,3室1厅1卫,178,十里堡  公园1872,25000,116.49777,39.9257,朝阳区
5294,整租|垡头垡头翠成馨园(A2室1厅,2室1厅1卫,98,垡头  垡头翠成馨园(A区),5500,116.50824,39.85786,朝阳区
5295,整租|松榆里林达海渔广场1室1厅,1室1厅1卫,75,松榆里  林达海渔广场,5700,116.485965,39.863877,朝阳区
5296,整租|垡头垡头北里4室1厅,4室1厅1卫,90,垡头  垡头北里,7500,116.512012,39.868315,朝阳区
5297,整租|垡头双合小区C区(建2室1厅,2室1厅1卫,86,垡头  双合小区C区(建工双合家园C区),5200,116.527419,39.857907,朝阳区
5298,整租|垡头金蝉南里1室1厅,1室1厅1卫,50,垡头  金蝉南里,4100,116.502721,39.862419,朝阳区
5299,整租|欢乐谷北京华侨城2号院3室2厅,3室2厅2卫,195,欢乐谷  北京华侨城2号院,18000,116.503123,39.865506,朝阳区
5300,整租|欢乐谷紫南家园(北区)1室1厅,1室1厅1卫,62,欢乐谷  紫南家园(北区),5200,116.500243,39.874019,朝阳区
5301,整租|垡头垡头翠成馨园(C1室1厅,1室1厅1卫,55,垡头  垡头翠成馨园(C区101-110号),3800,116.51284,39.860388,朝阳区
5302,整租|通州周边首开万科台湖新城1室2厅,1室2厅2卫,75,通州周边  首开万科台湖新城V公馆,3600,116.583445,39.819005,通州区
5303,整租|北关朝北80801室0厅,1室0厅1卫,48,北关  朝北8080,3450,116.649166,39.94051,通州区
5304,整租|后沙峪国门智慧城3室2厅,3室2厅2卫,110,后沙峪  国门智慧城,5000,116.558618,40.120611,顺义区
5305,整租|灯市口灯市口大街小区1室1厅,1室1厅1卫,40,灯市口  灯市口大街小区,7800,116.416162,39.919114,东城区
5306,整租|后沙峪国门智慧城2室1厅,2室1厅2卫,90,后沙峪  国门智慧城,4600,116.558618,40.120611,顺义区
5307,整租|通州周边首开万科台湖新城1室2厅,1室2厅2卫,75,通州周边  首开万科台湖新城V公馆,3600,116.583445,39.819005,通州区
5308,整租|石门旭辉26街区1室1厅,1室1厅1卫,27,石门  旭辉26街区,3100,116.612087,40.123084,顺义区
5309,整租|朝青板块国美第一城3号院1室1厅,1室1厅2卫,66,朝青板块  国美第一城3号院,6500,116.515113,39.933304,朝阳区
5310,整租|北关朝北80801室0厅,1室0厅1卫,37,北关  朝北8080,3100,116.649166,39.94051,通州区
5311,整租|北关朝北80801室0厅,1室0厅1卫,47,北关  朝北8080,3300,116.649166,39.94051,通州区
5312,整租|后沙峪国门智慧城2室1厅,2室1厅2卫,90,后沙峪  国门智慧城,5000,116.558618,40.120611,顺义区
5313,整租|石门旭辉26街区3室2厅,3室2厅2卫,60,石门  旭辉26街区,4700,116.612087,40.123084,顺义区
5314,整租|石门旭辉26街区3室1厅,3室1厅2卫,60,石门  旭辉26街区,4800,116.612087,40.123084,顺义区
5315,整租|后沙峪艾迪城2室2厅,2室2厅2卫,62,后沙峪  艾迪城,7000,116.542468,40.087177,顺义区
5316,整租|灯市口灯市口大街小区1室1厅,1室1厅1卫,40,灯市口  灯市口大街小区,7800,116.416162,39.919114,东城区
5317,整租|十里堡公园18721室0厅,1室0厅1卫,63,十里堡  公园1872,7000,116.49777,39.9257,朝阳区
5318,整租|后沙峪艾迪城2室2厅,2室2厅2卫,79,后沙峪  艾迪城,10000,116.542468,40.087177,顺义区
5319,整租|石门旭辉26街区2室1厅,2室1厅2卫,38,石门  旭辉26街区,3800,116.612087,40.123084,顺义区
5320,整租|朝青板块国美第一城3号院1室1厅,1室1厅1卫,78,朝青板块  国美第一城3号院,6500,116.515113,39.933304,朝阳区
5321,整租|东单东方豪庭公寓2室2厅,2室2厅2卫,138,东单  东方豪庭公寓,19800,116.413773,39.909876,东城区
5322,整租|朝青板块大悦公寓1室1厅,1室1厅1卫,90,朝青板块  大悦公寓,10000,116.515667,39.926149,朝阳区
5323,整租|次渠首开万科城市之光1室2厅,1室2厅2卫,40,次渠  首开万科城市之光(商住楼),3600,116.589953,39.816294,通州区
5324,整租|东单东方豪庭公寓1室1厅,1室1厅1卫,40,东单  东方豪庭公寓,8000,116.413773,39.909876,东城区
5325,整租|王府井王府井社区1室1厅,1室1厅1卫,40,王府井  王府井社区,8700,116.41483,39.914286,东城区
5326,整租|顺义城区金地未未来1室1厅,1室1厅2卫,42,顺义城区  金地未未来,3200,116.631298,40.106762,顺义区
5327,整租|北关朝北80801室1厅,1室1厅1卫,50,北关  朝北8080,3500,116.649166,39.94051,通州区
5328,整租|顺义城区金地未未来3室2厅,3室2厅2卫,59,顺义城区  金地未未来,4100,116.631298,40.106762,顺义区
5329,整租|朝青板块大悦公寓1室1厅,1室1厅1卫,120,朝青板块  大悦公寓,13500,116.515667,39.926149,朝阳区
5330,整租|石门旭辉26街区2室1厅,2室1厅2卫,38,石门  旭辉26街区,3700,116.612087,40.123084,顺义区
5331,整租|朝青板块小悦中心1室1厅,1室1厅2卫,55,朝青板块  小悦中心,5500,116.515667,39.926149,朝阳区
5332,整租|台湖镇首开万科城市之光1室2厅,1室2厅2卫,76,台湖镇  首开万科城市之光,3700,116.589953,39.816294,通州区
5333,整租|后沙峪国门智慧城2室2厅,2室2厅2卫,96,后沙峪  国门智慧城,4300,116.558618,40.120611,顺义区
5334,整租|顺义城区金地未未来1室1厅,1室1厅1卫,52,顺义城区  金地未未来,2900,116.631298,40.106762,顺义区
5335,整租|灯市口灯市口西街1室1厅,1室1厅1卫,45,灯市口  灯市口西街,7999,116.407825,39.918189,东城区
5336,整租|石门旭辉26街区3室2厅,3室2厅2卫,60,石门  旭辉26街区,4700,116.612087,40.123084,顺义区
5337,整租|次渠首开万科城市之光2室1厅,2室1厅1卫,48,次渠  首开万科城市之光(商住楼),4000,116.589953,39.816294,通州区
5338,整租|灯市口甘雨胡同2号院1室1厅,1室1厅1卫,45,灯市口  甘雨胡同2号院,7999,116.41673,39.917092,东城区
5339,整租|后沙峪艾迪城1室2厅,1室2厅1卫,45,后沙峪  艾迪城,5300,116.542468,40.087177,顺义区
5340,整租|顺义城区金地未未来3室1厅,3室1厅2卫,59,顺义城区  金地未未来,4100,116.631298,40.106762,顺义区
5341,整租|石门旭辉26街区1室1厅,1室1厅1卫,27,石门  旭辉26街区,3100,116.612087,40.123084,顺义区
5342,整租|朝青板块小悦中心2室1厅,2室1厅2卫,94,朝青板块  小悦中心,7300,116.515667,39.926149,朝阳区
5343,整租|顺义城区金地未未来2室1厅,2室1厅2卫,80,顺义城区  金地未未来,4299,116.631298,40.106762,顺义区
5344,整租|王府井王府井社区1室1厅,1室1厅1卫,45,王府井  王府井社区,7999,116.41483,39.914286,东城区
5345,整租|朝青板块小悦中心2室1厅,2室1厅2卫,76,朝青板块  小悦中心,6200,116.515667,39.926149,朝阳区
5346,整租|顺义城区金地未未来3室1厅,3室1厅2卫,60,顺义城区  金地未未来,4300,116.631298,40.106762,顺义区
5347,整租|王府井王府井社区1室1厅,1室1厅1卫,45,王府井  王府井社区,7999,116.41483,39.914286,东城区
5348,整租|灯市口灯市口西街1室1厅,1室1厅1卫,45,灯市口  灯市口西街,7999,116.407825,39.918189,东城区
5349,整租|石门旭辉26街区1室1厅,1室1厅1卫,38,石门  旭辉26街区,3600,116.612087,40.123084,顺义区
5350,整租|石门旭辉26街区1室1厅,1室1厅1卫,27,石门  旭辉26街区,3100,116.612087,40.123084,顺义区
5351,整租|朝青板块小悦中心1室1厅,1室1厅2卫,72,朝青板块  小悦中心,6500,116.515667,39.926149,朝阳区
5352,整租|顺义城区金地未未来2室2厅,2室2厅2卫,42,顺义城区  金地未未来,3500,116.631298,40.106762,顺义区
5353,整租|台湖镇首开万科城市之光1室2厅,1室2厅2卫,38,台湖镇  首开万科城市之光,3600,116.589953,39.816294,通州区
5354,整租|朝青板块大悦公寓1室0厅,1室0厅1卫,92,朝青板块  大悦公寓,10000,116.515667,39.926149,朝阳区
5355,整租|朝青板块小悦中心1室1厅,1室1厅1卫,72,朝青板块  小悦中心,6500,116.515667,39.926149,朝阳区
5356,整租|台湖镇首开万科城市之光1室2厅,1室2厅2卫,75,台湖镇  首开万科城市之光,3600,116.589953,39.816294,通州区
5357,整租|北关朝北80801室0厅,1室0厅1卫,37,北关  朝北8080,3000,116.649166,39.94051,通州区
5358,整租|北关朝北80801室0厅,1室0厅1卫,33,北关  朝北8080,2800,116.649166,39.94051,通州区
5359,整租|石门旭辉26街区2室1厅,2室1厅2卫,48,石门  旭辉26街区,4100,116.612087,40.123084,顺义区
5360,整租|北关朝北80801室0厅,1室0厅1卫,38,北关  朝北8080,3000,116.649166,39.94051,通州区
5361,整租|石门旭辉26街区1室1厅,1室1厅1卫,27,石门  旭辉26街区,3100,116.612087,40.123084,顺义区
5362,整租|北关朝北80802室1厅,2室1厅1卫,90,北关  朝北8080,5500,116.649166,39.94051,通州区
5363,整租|后沙峪国门智慧城2室1厅,2室1厅2卫,90,后沙峪  国门智慧城,4500,116.558618,40.120611,顺义区
5364,整租|灯市口甘雨胡同2号院1室1厅,1室1厅1卫,50,灯市口  甘雨胡同2号院,12800,116.41673,39.917092,东城区
5365,整租|通州周边首开万科台湖新城1室2厅,1室2厅2卫,40,通州周边  首开万科台湖新城V公馆,3500,116.583445,39.819005,通州区
5366,整租|朝青板块小悦中心1室1厅,1室1厅2卫,66,朝青板块  小悦中心,6300,116.515667,39.926149,朝阳区
5367,整租|顺义城区金地未未来3室1厅,3室1厅2卫,60,顺义城区  金地未未来,4100,116.631298,40.106762,顺义区
5368,整租|后沙峪国门智慧城2室1厅,2室1厅2卫,60,后沙峪  国门智慧城,4300,116.558618,40.120611,顺义区
5369,整租|王府井王府井社区1室1厅,1室1厅1卫,45,王府井  王府井社区,7999,116.41483,39.914286,东城区
5370,整租|朝青板块大悦公寓1室1厅,1室1厅1卫,113,朝青板块  大悦公寓,13000,116.515667,39.926149,朝阳区
5371,整租|东单东方豪庭公寓1室1厅,1室1厅1卫,45,东单  东方豪庭公寓,8500,116.413773,39.909876,东城区
5372,整租|顺义城区金地未未来3室2厅,3室2厅2卫,59,顺义城区  金地未未来,4100,116.631298,40.106762,顺义区
5373,整租|顺义城区鹭廷中心2室2厅,2室2厅2卫,80,顺义城区  鹭廷中心,4800,116.631311,40.105105,顺义区
5374,整租|顺义城区鹭廷中心2室1厅,2室1厅2卫,160,顺义城区  鹭廷中心,4800,116.631311,40.105105,顺义区
5375,整租|台湖镇首开万科城市之光1室2厅,1室2厅2卫,76,台湖镇  首开万科城市之光,3500,116.589953,39.816294,通州区
5376,整租|石门旭辉26街区3室2厅,3室2厅2卫,60,石门  旭辉26街区,4700,116.612087,40.123084,顺义区
5377,整租|后沙峪国门智慧城3室1厅,3室1厅2卫,130,后沙峪  国门智慧城,5700,116.558618,40.120611,顺义区
5378,整租|朝青板块大悦公寓1室1厅,1室1厅1卫,120,朝青板块  大悦公寓,13000,116.515667,39.926149,朝阳区
5379,整租|灯市口灯市口西街1室1厅,1室1厅1卫,38,灯市口  灯市口西街,7499,116.407825,39.918189,东城区
5380,整租|朝青板块大悦公寓1室1厅,1室1厅1卫,90,朝青板块  大悦公寓,9000,116.515667,39.926149,朝阳区
5381,整租|王府井王府井社区1室1厅,1室1厅1卫,50,王府井  王府井社区,8255,116.41483,39.914286,东城区
5382,整租|台湖镇首开万科城市之光1室2厅,1室2厅2卫,74,台湖镇  首开万科城市之光,3500,116.589953,39.816294,通州区
5383,整租|灯市口甘雨胡同2号院1室1厅,1室1厅1卫,45,灯市口  甘雨胡同2号院,7999,116.41673,39.917092,东城区
5384,整租|雍和宫柏林胡同小区1室1厅,1室1厅1卫,45,雍和宫  柏林胡同小区,7999,116.420215,39.945292,东城区
5385,整租|朝青板块小悦中心2室1厅,2室1厅2卫,76,朝青板块  小悦中心,6300,116.515667,39.926149,朝阳区
5386,整租|次渠首开万科城市之光1室2厅,1室2厅2卫,38,次渠  首开万科城市之光(商住楼),3800,116.589953,39.816294,通州区
5387,整租|灯市口灯市口大街小区1室0厅,1室0厅1卫,45,灯市口  灯市口大街小区,7600,116.416162,39.919114,东城区
5388,整租|朝青板块大悦公寓1室1厅,1室1厅1卫,93,朝青板块  大悦公寓,10000,116.515667,39.926149,朝阳区
5389,整租|北关朝北80801室1厅,1室1厅1卫,50,北关  朝北8080,3500,116.649166,39.94051,通州区
5390,整租|台湖镇首开万科城市之光1室2厅,1室2厅2卫,38,台湖镇  首开万科城市之光,3600,116.589953,39.816294,通州区
5391,整租|灯市口灯市口大街小区1室1厅,1室1厅1卫,40,灯市口  灯市口大街小区,7800,116.416162,39.919114,东城区
5392,整租|石门旭辉26街区2室1厅,2室1厅2卫,38,石门  旭辉26街区,3700,116.612087,40.123084,顺义区
5393,整租|雍和宫柏林胡同小区1室1厅,1室1厅1卫,45,雍和宫  柏林胡同小区,7999,116.420215,39.945292,东城区
5394,整租|灯市口甘雨胡同2号院1室1厅,1室1厅1卫,45,灯市口  甘雨胡同2号院,7999,116.41673,39.917092,东城区
5395,整租|通州周边首开万科台湖新城1室2厅,1室2厅2卫,38,通州周边  首开万科台湖新城V公馆,3500,116.583445,39.819005,通州区
5396,整租|王府井王府井社区1室1厅,1室1厅1卫,45,王府井  王府井社区,7999,116.41483,39.914286,东城区
5397,整租|朝青板块大悦公寓1室1厅,1室1厅1卫,91,朝青板块  大悦公寓,9000,116.515667,39.926149,朝阳区
5398,整租|后沙峪国门智慧城2室1厅,2室1厅2卫,65,后沙峪  国门智慧城,4300,116.558618,40.120611,顺义区
5399,整租|次渠首开万科城市之光1室2厅,1室2厅2卫,70,次渠  首开万科城市之光(商住楼),3700,116.589953,39.816294,通州区
5400,整租|后沙峪国门智慧城2室1厅,2室1厅2卫,75,后沙峪  国门智慧城,4200,116.558618,40.120611,顺义区
5401,整租|后沙峪艾迪城1室2厅,1室2厅1卫,45,后沙峪  艾迪城,5300,116.542468,40.087177,顺义区
5402,整租|台湖镇首开万科城市之光1室2厅,1室2厅2卫,38,台湖镇  首开万科城市之光,3600,116.589953,39.816294,通州区
5403,整租|灯市口甘雨胡同2号院1室1厅,1室1厅1卫,45,灯市口  甘雨胡同2号院,7800,116.41673,39.917092,东城区
5404,整租|台湖镇首开万科城市之光1室2厅,1室2厅2卫,76,台湖镇  首开万科城市之光,3500,116.589953,39.816294,通州区
5405,整租|次渠首开万科城市之光1室2厅,1室2厅2卫,78,次渠  首开万科城市之光(商住楼),3500,116.589953,39.816294,通州区
5406,整租|顺义城区鹭廷中心1室0厅,1室0厅1卫,53,顺义城区  鹭廷中心,2999,116.631311,40.105105,顺义区
5407,整租|顺义城区鹭廷中心1室0厅,1室0厅1卫,53,顺义城区  鹭廷中心,2999,116.631311,40.105105,顺义区
5408,整租|次渠泰禾1号街区1室2厅,1室2厅2卫,74,次渠  泰禾1号街区,3500,116.580393,39.815435,通州区
5409,整租|东单东方豪庭公寓1室1厅,1室1厅1卫,38,东单  东方豪庭公寓,8000,116.413773,39.909876,东城区
5410,整租|顺义城区鹭廷中心1室1厅,1室1厅1卫,53,顺义城区  鹭廷中心,3000,116.631311,40.105105,顺义区
5411,整租|顺义城区金地未未来3室2厅,3室2厅2卫,59,顺义城区  金地未未来,4100,116.631298,40.106762,顺义区
5412,整租|朝青板块大悦公寓1室1厅,1室1厅1卫,90,朝青板块  大悦公寓,9500,116.515667,39.926149,朝阳区
5413,整租|顺义城区鹭廷中心3室2厅,3室2厅3卫,86,顺义城区  鹭廷中心,5300,116.631311,40.105105,顺义区
5414,整租|朝青板块小悦中心1室1厅,1室1厅2卫,66,朝青板块  小悦中心,6500,116.515667,39.926149,朝阳区
5415,整租|次渠首开万科城市之光1室2厅,1室2厅2卫,70,次渠  首开万科城市之光(商住楼),3500,116.589953,39.816294,通州区
5416,整租|通州周边首开万科台湖新城1室2厅,1室2厅2卫,38,通州周边  首开万科台湖新城V公馆,3500,116.583445,39.819005,通州区
5417,整租|石门旭辉26街区1室1厅,1室1厅1卫,38,石门  旭辉26街区,3700,116.612087,40.123084,顺义区
5418,整租|通州周边首开万科台湖新城1室2厅,1室2厅2卫,40,通州周边  首开万科台湖新城V公馆,3500,116.583445,39.819005,通州区
5419,整租|东单东方豪庭公寓1室1厅,1室1厅1卫,50,东单  东方豪庭公寓,8500,116.413773,39.909876,东城区
5420,整租|通州周边首开万科台湖新城1室2厅,1室2厅2卫,38,通州周边  首开万科台湖新城V公馆,3500,116.583445,39.819005,通州区
5421,整租|顺义城区金地未未来3室1厅,3室1厅2卫,60,顺义城区  金地未未来,4300,116.631298,40.106762,顺义区
5422,整租|后沙峪艾迪城1室2厅,1室2厅1卫,45,后沙峪  艾迪城,5200,116.542468,40.087177,顺义区
5423,整租|顺义城区鹭廷中心2室1厅,2室1厅2卫,160,顺义城区  鹭廷中心,4800,116.631311,40.105105,顺义区
5424,整租|次渠首开万科城市之光1室2厅,1室2厅2卫,70,次渠  首开万科城市之光(商住楼),3500,116.589953,39.816294,通州区
5425,整租|朝青板块小悦中心2室1厅,2室1厅2卫,76,朝青板块  小悦中心,6300,116.515667,39.926149,朝阳区
5426,整租|朝青板块小悦中心2室1厅,2室1厅2卫,76,朝青板块  小悦中心,6300,116.515667,39.926149,朝阳区
5427,整租|灯市口甘雨胡同2号院1室1厅,1室1厅1卫,45,灯市口  甘雨胡同2号院,7999,116.41673,39.917092,东城区
5428,整租|通州周边首开万科台湖新城1室2厅,1室2厅2卫,40,通州周边  首开万科台湖新城V公馆,3500,116.583445,39.819005,通州区
5429,整租|东单东方豪庭公寓1室1厅,1室1厅1卫,50,东单  东方豪庭公寓,8500,116.413773,39.909876,东城区
5430,整租|台湖镇首开万科城市之光1室2厅,1室2厅2卫,37,台湖镇  首开万科城市之光,3600,116.589953,39.816294,通州区
5431,整租|灯市口灯市口西街1室1厅,1室1厅1卫,38,灯市口  灯市口西街,7999,116.407825,39.918189,东城区
5432,整租|灯市口灯市口大街小区1室1厅,1室1厅1卫,40,灯市口  灯市口大街小区,7800,116.416162,39.919114,东城区
5433,整租|后沙峪国门智慧城2室1厅,2室1厅2卫,74,后沙峪  国门智慧城,4100,116.558618,40.120611,顺义区
5434,整租|次渠首开万科城市之光1室2厅,1室2厅2卫,78,次渠  首开万科城市之光(商住楼),3500,116.589953,39.816294,通州区
5435,整租|次渠首开万科城市之光1室2厅,1室2厅2卫,38,次渠  首开万科城市之光(商住楼),3500,116.589953,39.816294,通州区
5436,整租|朝青板块小悦中心1室1厅,1室1厅2卫,52,朝青板块  小悦中心,5500,116.515667,39.926149,朝阳区
5437,整租|次渠首开万科城市之光1室2厅,1室2厅2卫,38,次渠  首开万科城市之光(商住楼),3500,116.589953,39.816294,通州区
5438,整租|东单东方豪庭公寓1室1厅,1室1厅1卫,65,东单  东方豪庭公寓,10666,116.413773,39.909876,东城区
5439,整租|朝青板块小悦中心1室1厅,1室1厅1卫,72,朝青板块  小悦中心,5800,116.515667,39.926149,朝阳区
5440,整租|北关朝北80801室1厅,1室1厅1卫,47,北关  朝北8080,3500,116.649166,39.94051,通州区
5441,整租|北关朝北80801室1厅,1室1厅1卫,90,北关  朝北8080,5300,116.649166,39.94051,通州区
5442,整租|顺义城区金地未未来1室1厅,1室1厅2卫,42,顺义城区  金地未未来,3200,116.631298,40.106762,顺义区
5443,整租|朝青板块大悦公寓1室1厅,1室1厅1卫,89,朝青板块  大悦公寓,9500,116.515667,39.926149,朝阳区
5444,整租|顺义城区鹭廷中心2室1厅,2室1厅2卫,73,顺义城区  鹭廷中心,4000,116.631311,40.105105,顺义区
5445,整租|灯市口灯市口大街小区1室0厅,1室0厅1卫,45,灯市口  灯市口大街小区,7600,116.416162,39.919114,东城区
5446,整租|顺义城区金地未未来4室1厅,4室1厅2卫,120,顺义城区  金地未未来,4300,116.631298,40.106762,顺义区
5447,整租|后沙峪国门智慧城3室2厅,3室2厅2卫,110,后沙峪  国门智慧城,5500,116.558618,40.120611,顺义区
5448,整租|次渠首开万科城市之光1室2厅,1室2厅2卫,72,次渠  首开万科城市之光(商住楼),3500,116.589953,39.816294,通州区
5449,整租|台湖镇首开万科城市之光1室2厅,1室2厅2卫,74,台湖镇  首开万科城市之光,3500,116.589953,39.816294,通州区
5450,整租|东单东方豪庭公寓2室2厅,2室2厅2卫,138,东单  东方豪庭公寓,19999,116.413773,39.909876,东城区
5451,整租|王府井王府井社区1室1厅,1室1厅1卫,45,王府井  王府井社区,7999,116.41483,39.914286,东城区
5452,整租|台湖镇首开万科城市之光1室2厅,1室2厅2卫,76,台湖镇  首开万科城市之光,3500,116.589953,39.816294,通州区
5453,整租|后沙峪顺义绿地启航国际3室2厅,3室2厅2卫,65,后沙峪  顺义绿地启航国际,5600,116.556426,40.116173,顺义区
5454,整租|顺义城区鹭廷中心1室1厅,1室1厅1卫,54,顺义城区  鹭廷中心,3100,116.631311,40.105105,顺义区
5455,整租|朝青板块大悦公寓1室1厅,1室1厅1卫,90,朝青板块  大悦公寓,8500,116.515667,39.926149,朝阳区
5456,整租|王府井王府井社区1室1厅,1室1厅1卫,50,王府井  王府井社区,9288,116.41483,39.914286,东城区
5457,整租|灯市口甘雨胡同2号院1室1厅,1室1厅1卫,45,灯市口  甘雨胡同2号院,7999,116.41673,39.917092,东城区
5458,整租|朝青板块小悦中心1室1厅,1室1厅2卫,66,朝青板块  小悦中心,6300,116.515667,39.926149,朝阳区
5459,整租|台湖镇首开万科城市之光2室1厅,2室1厅2卫,54,台湖镇  首开万科城市之光,4200,116.589953,39.816294,通州区
5460,整租|后沙峪国门智慧城2室1厅,2室1厅2卫,75,后沙峪  国门智慧城,4000,116.558618,40.120611,顺义区
5461,整租|东单东方豪庭公寓1室1厅,1室1厅1卫,40,东单  东方豪庭公寓,8000,116.413773,39.909876,东城区
5462,整租|东单东方豪庭公寓1室1厅,1室1厅1卫,55,东单  东方豪庭公寓,8500,116.413773,39.909876,东城区
5463,整租|后沙峪国门智慧城2室1厅,2室1厅2卫,96,后沙峪  国门智慧城,4000,116.558618,40.120611,顺义区
5464,整租|朝青板块小悦中心2室1厅,2室1厅2卫,76,朝青板块  小悦中心,6500,116.515667,39.926149,朝阳区
5465,整租|朝青板块大悦公寓1室1厅,1室1厅1卫,90,朝青板块  大悦公寓,9000,116.515667,39.926149,朝阳区
5466,整租|朝青板块大悦公寓1室1厅,1室1厅1卫,91,朝青板块  大悦公寓,9000,116.515667,39.926149,朝阳区
5467,整租|东单东方豪庭公寓1室1厅,1室1厅1卫,40,东单  东方豪庭公寓,8000,116.413773,39.909876,东城区
5468,整租|灯市口灯市口大街小区1室1厅,1室1厅1卫,40,灯市口  灯市口大街小区,8500,116.416162,39.919114,东城区
5469,整租|北关朝北80801室1厅,1室1厅1卫,47,北关  朝北8080,4500,116.649166,39.94051,通州区
5470,整租|北关朝北80801室1厅,1室1厅1卫,53,北关  朝北8080,3900,116.649166,39.94051,通州区
5471,整租|朝青板块小悦中心2室1厅,2室1厅2卫,76,朝青板块  小悦中心,6500,116.515667,39.926149,朝阳区
5472,整租|台湖镇首开万科城市之光1室2厅,1室2厅2卫,76,台湖镇  首开万科城市之光,3600,116.589953,39.816294,通州区
5473,整租|顺义城区金地未未来3室1厅,3室1厅2卫,120,顺义城区  金地未未来,3900,116.631298,40.106762,顺义区
5474,整租|东单东方豪庭公寓1室1厅,1室1厅1卫,40,东单  东方豪庭公寓,8000,116.413773,39.909876,东城区
5475,整租|青遇ho家园北影社区,1室0厅1卫,20,姚家园  平房路70号院,1600,116.540382,39.946762,朝阳区
5476,整租|运河大街运乔嘉园1室1厅,1室1厅1卫,35,运河大街  运乔嘉园,2280,116.690355,39.894491,通州区
5477,整租|运河大街运乔嘉园1室1厅,1室1厅1卫,36,运河大街  运乔嘉园,2480,116.690355,39.894491,通州区
5478,整租|魔方公寓北苑北苑店,1室1厅1卫,35,北苑  水岸庄园1009号楼,4000,116.432945,40.052868,朝阳区
5479,整租|运河大街运乔嘉园1室1厅,1室1厅1卫,38,运河大街  运乔嘉园,2480,116.690355,39.894491,通州区
5480,整租|首创He园良乡首创He园,1室1厅1卫,28,良乡  首创紫悦台,2300,116.181688,39.720375,房山区
5481,整租|贝客公寓立水桥立水桥店,2室1厅1卫,52,立水桥  佳运园(三区),4800,116.403923,40.045128,昌平区
5482,整租|双井首城国际2室2厅,2室2厅2卫,143,双井  首城国际,12500,116.469842,39.890794,朝阳区
5483,整租|灯市口灯市口西街1室1厅,1室1厅1卫,45,灯市口  灯市口西街,7999,116.407825,39.918189,东城区
5484,整租|顺义城区金地未未来3室2厅,3室2厅2卫,57,顺义城区  金地未未来,4100,116.631298,40.106762,顺义区
5485,整租|东单东方豪庭公寓1室1厅,1室1厅1卫,55,东单  东方豪庭公寓,8500,116.413773,39.909876,东城区
5486,整租|朝青板块大悦公寓1室1厅,1室1厅1卫,90,朝青板块  大悦公寓,10000,116.515667,39.926149,朝阳区
5487,整租|石门旭辉26街区2室1厅,2室1厅2卫,38,石门  旭辉26街区,3700,116.612087,40.123084,顺义区
5488,整租|朝青板块小悦中心2室1厅,2室1厅2卫,128,朝青板块  小悦中心,9500,116.515667,39.926149,朝阳区
